iter	RMSE
0	41.9824988
1	41.21172281
2	40.53232237
3	39.82024543
4	39.20271363
5	38.57686345
6	38.04625631
7	37.51041887
8	37.03006461
9	36.57795339
10	36.12316226
11	35.70927409
12	35.30297129
13	34.96857001
14	34.65838674
15	34.35857063
16	34.08634154
17	33.85545975
18	33.60666834
19	33.37301688
20	33.15186419
21	32.94215459
22	32.74916769
23	32.56609421
24	32.41938214
25	32.28331689
26	32.12417983
27	31.95793568
28	31.84509192
29	31.70598627
30	31.58427229
31	31.45736338
32	31.36824572
33	31.28251396
34	31.19128704
35	31.10355889
36	31.03609478
37	30.94045702
38	30.85257651
39	30.78515036
40	30.69865595
41	30.64287362
42	30.59541933
43	30.54054488
44	30.49089373
45	30.43045789
46	30.3795235
47	30.33038551
48	30.28969044
49	30.23143749
50	30.16791745
51	30.12815428
52	30.07617155
53	30.03668025
54	29.99334349
55	29.94810278
56	29.91417393
57	29.85839439
58	29.82190574
59	29.76044336
60	29.73004103
61	29.7026485
62	29.674469
63	29.64618355
64	29.6126764
65	29.5772146
66	29.54352955
67	29.51019847
68	29.49289079
69	29.46704856
70	29.43186673
71	29.41051384
72	29.3867686
73	29.36137102
74	29.31774739
75	29.27920746
76	29.2601295
77	29.23728138
78	29.21911488
79	29.1658794
80	29.14096195
81	29.12950264
82	29.10741585
83	29.06038532
84	29.04228973
85	29.01519195
86	28.99493806
87	28.96932299
88	28.93896847
89	28.92568631
90	28.90344345
91	28.8772998
92	28.85527881
93	28.82862997
94	28.79965809
95	28.78107396
96	28.74018828
97	28.71754174
98	28.70126758
99	28.67748256
100	28.66691348
101	28.64642452
102	28.6237423
103	28.59967975
104	28.59128404
105	28.57274935
106	28.54516224
107	28.53314085
108	28.50593875
109	28.49357297
110	28.46993025
111	28.45789979
112	28.43554287
113	28.42057946
114	28.40276937
115	28.38421322
116	28.35596623
117	28.33921051
118	28.32722764
119	28.314604
120	28.30272283
121	28.29465547
122	28.27913879
123	28.2657653
124	28.24296539
125	28.22978843
126	28.20219558
127	28.18782762
128	28.17220346
129	28.15824269
130	28.14141427
131	28.12109366
132	28.10465575
133	28.09172435
134	28.0599582
135	28.04583572
136	28.03464553
137	28.0177455
138	27.98778621
139	27.96775625
140	27.95333767
141	27.94138756
142	27.9220647
143	27.90984825
144	27.85716121
145	27.84204335
146	27.82903667
147	27.81206547
148	27.79581412
149	27.78091672
150	27.76815261
151	27.75750888
152	27.73602388
153	27.72851874
154	27.70034783
155	27.68588423
156	27.67618916
157	27.64546494
158	27.63874801
159	27.62245244
160	27.60401739
161	27.59166811
162	27.56320583
163	27.54164763
164	27.52314543
165	27.50840679
166	27.49264243
167	27.46300411
168	27.45027884
169	27.43759879
170	27.42152471
171	27.41314975
172	27.39444495
173	27.37985116
174	27.34955143
175	27.33244204
176	27.31041697
177	27.29690847
178	27.28883845
179	27.27653007
180	27.24964805
181	27.23754126
182	27.22481509
183	27.21409549
184	27.20421418
185	27.19355447
186	27.18260947
187	27.16864815
188	27.14510929
189	27.13362451
190	27.12223764
191	27.11389628
192	27.10191665
193	27.07965263
194	27.05729914
195	27.04296492
196	27.02965513
197	27.01715008
198	27.00332265
199	26.98577308
200	26.97379342
201	26.95427336
202	26.94510082
203	26.92976229
204	26.91472872
205	26.89619523
206	26.87896091
207	26.85813618
208	26.84245283
209	26.83270959
210	26.8231772
211	26.80081673
212	26.78370973
213	26.76338569
214	26.74602906
215	26.73230033
216	26.72265249
217	26.71084145
218	26.69886174
219	26.68776422
220	26.67979374
221	26.65715368
222	26.64846452
223	26.62369706
224	26.61176177
225	26.5895973
226	26.57687606
227	26.56647894
228	26.55240796
229	26.53587089
230	26.52468021
231	26.50763676
232	26.49111558
233	26.47728889
234	26.46786862
235	26.455379
236	26.44261929
237	26.42644885
238	26.38610493
239	26.37531508
240	26.36290896
241	26.34996119
242	26.34043866
243	26.32784428
244	26.32007267
245	26.30852779
246	26.30049876
247	26.28899301
248	26.26988526
249	26.25426342
250	26.23041827
251	26.21483931
252	26.19791173
253	26.18675768
254	26.17274732
255	26.16292048
256	26.15018915
257	26.13849652
258	26.11976756
259	26.10227442
260	26.09486472
261	26.08705125
262	26.07343
263	26.06314954
264	26.04391639
265	26.03401705
266	26.02867149
267	26.01552827
268	26.00418273
269	25.96710928
270	25.94521557
271	25.90779224
272	25.89852034
273	25.88463229
274	25.86759052
275	25.85351818
276	25.83999107
277	25.82609122
278	25.81555242
279	25.77862099
280	25.77226493
281	25.75281351
282	25.71873431
283	25.70763922
284	25.68852788
285	25.66612192
286	25.65601393
287	25.64333355
288	25.62590108
289	25.6178531
290	25.6021881
291	25.58653729
292	25.55056887
293	25.54446595
294	25.51705026
295	25.50827575
296	25.49492252
297	25.46988192
298	25.44423783
299	25.43338196
300	25.42074247
301	25.4047868
302	25.37210167
303	25.36294931
304	25.35001854
305	25.33473856
306	25.32644166
307	25.29311854
308	25.2605594
309	25.25031506
310	25.22800373
311	25.20947542
312	25.19022626
313	25.15699268
314	25.14666373
315	25.13105625
316	25.12183457
317	25.10906805
318	25.09971047
319	25.07894598
320	25.05717627
321	25.04055974
322	25.0273958
323	25.01993107
324	25.00772401
325	24.98518836
326	24.97583149
327	24.96452618
328	24.93768305
329	24.9265641
330	24.91934444
331	24.90880216
332	24.87344653
333	24.85053742
334	24.839917
335	24.82868743
336	24.80860207
337	24.79852256
338	24.78510823
339	24.77019963
340	24.76277067
341	24.74797914
342	24.73276762
343	24.72343492
344	24.71070632
345	24.699122
346	24.6745482
347	24.66623311
348	24.64701242
349	24.61841953
350	24.609391
351	24.60212227
352	24.59433725
353	24.57844709
354	24.56212703
355	24.5556928
356	24.54721075
