iter	Passed	Remaining
0	151	60436
1	154	30672
2	157	20812
3	160	15840
4	162	12841
5	165	10854
6	168	9449
7	171	8388
8	173	7543
9	176	6870
10	178	6321
11	182	5898
12	184	5506
13	187	5173
14	190	4880
15	192	4631
16	195	4410
17	199	4223
18	201	4045
19	204	3878
20	206	3722
21	208	3587
22	210	3458
23	214	3361
24	217	3257
25	219	3160
26	222	3071
27	224	2986
28	228	2923
29	231	2860
30	234	2791
31	237	2726
32	239	2662
33	242	2606
34	246	2566
35	248	2511
36	250	2460
37	253	2413
38	255	2368
39	258	2328
40	262	2297
41	264	2257
42	267	2220
43	269	2182
44	272	2150
45	275	2119
46	278	2094
47	281	2063
48	284	2034
49	286	2005
50	289	1979
51	293	1964
52	297	1945
53	299	1918
54	302	1895
55	304	1871
56	309	1859
57	312	1840
58	314	1817
59	316	1795
60	320	1779
61	324	1770
62	328	1757
63	331	1739
64	333	1720
65	336	1703
66	341	1695
67	344	1683
68	347	1665
69	349	1648
70	352	1631
71	355	1619
72	358	1607
73	361	1593
74	364	1578
75	366	1564
76	370	1555
77	375	1551
78	379	1543
79	382	1531
80	385	1517
81	390	1514
82	393	1501
83	395	1489
84	398	1476
85	401	1466
86	406	1461
87	408	1449
88	411	1437
89	413	1425
90	416	1413
91	421	1409
92	424	1400
93	427	1390
94	429	1380
95	433	1371
96	438	1368
97	440	1358
98	443	1347
99	445	1337
100	449	1329
101	453	1324
102	456	1314
103	459	1306
104	461	1297
105	464	1288
106	469	1285
107	472	1276
108	474	1266
109	477	1257
110	479	1248
111	484	1245
112	487	1237
113	489	1228
114	492	1219
115	494	1211
116	498	1205
117	501	1198
118	503	1189
119	506	1180
120	508	1172
121	511	1165
122	516	1162
123	518	1154
124	521	1148
125	524	1140
126	527	1133
127	531	1128
128	534	1123
129	537	1116
130	540	1108
131	542	1101
132	546	1097
133	550	1092
134	553	1085
135	555	1078
136	558	1071
137	562	1068
138	566	1063
139	569	1056
140	571	1049
141	574	1044
142	578	1040
143	582	1036
144	585	1029
145	588	1023
146	590	1016
147	595	1014
148	598	1008
149	600	1001
150	603	994
151	606	989
152	611	986
153	614	981
154	616	974
155	618	967
156	621	961
157	624	956
158	628	951
159	630	945
160	632	939
161	634	932
162	637	926
163	640	921
164	644	917
165	646	911
166	649	905
167	651	900
168	654	894
169	658	890
170	661	885
171	663	879
172	666	874
173	669	869
174	672	864
175	676	861
176	679	855
177	682	850
178	684	845
179	687	840
180	692	837
181	694	832
182	697	827
183	699	821
184	702	816
185	708	814
186	711	810
187	714	806
188	717	801
189	722	798
190	725	793
191	728	788
192	730	783
193	732	778
194	736	774
195	740	770
196	743	765
197	745	760
198	747	755
199	751	751
200	755	747
201	758	743
202	761	738
203	763	733
204	767	729
205	770	725
206	774	722
207	777	717
208	779	712
209	782	707
210	786	704
211	790	700
212	793	696
213	795	691
214	799	687
215	803	684
216	805	679
217	808	674
218	811	670
219	814	666
220	818	663
221	821	658
222	824	654
223	827	650
224	829	645
225	834	642
226	837	637
227	839	633
228	843	629
229	845	625
230	850	622
231	854	618
232	856	613
233	858	609
234	861	604
235	866	601
236	868	597
237	871	592
238	873	588
239	876	584
240	881	581
241	884	577
242	886	573
243	889	568
244	892	564
245	897	561
246	899	557
247	902	553
248	905	549
249	908	544
250	912	541
251	915	537
252	917	533
253	920	529
254	923	525
255	927	521
256	930	517
257	933	513
258	935	509
259	938	505
260	940	501
261	945	497
262	947	493
263	950	489
264	952	485
265	955	481
266	958	477
267	962	473
268	964	469
269	967	465
270	969	461
271	972	457
272	977	454
273	979	450
274	982	446
275	984	442
276	987	438
277	992	435
278	994	431
279	997	427
280	1000	423
281	1002	419
282	1006	416
283	1009	412
284	1012	408
285	1014	404
286	1017	400
287	1019	396
288	1023	393
289	1026	389
290	1028	385
291	1030	381
292	1033	377
293	1035	373
294	1040	370
295	1043	366
296	1045	362
297	1048	358
298	1051	355
299	1054	351
300	1057	347
301	1059	343
302	1062	340
303	1064	336
304	1067	332
305	1071	329
306	1074	325
307	1077	321
308	1079	317
309	1082	314
310	1085	310
311	1089	307
312	1092	303
313	1095	300
314	1098	296
315	1102	293
316	1105	289
317	1108	285
318	1110	281
319	1113	278
320	1116	274
321	1120	271
322	1122	267
323	1125	263
324	1127	260
325	1130	256
326	1133	253
327	1137	249
328	1139	246
329	1142	242
330	1145	238
331	1148	235
332	1151	231
333	1154	228
334	1156	224
335	1159	220
336	1162	217
337	1166	213
338	1168	210
339	1170	206
340	1173	203
341	1176	199
342	1178	195
343	1181	192
344	1183	188
345	1186	185
346	1189	181
347	1191	178
348	1194	174
349	1197	171
350	1199	167
351	1202	163
352	1204	160
353	1206	156
354	1209	153
355	1212	149
356	1215	146
357	1218	142
358	1220	139
359	1223	135
360	1225	132
361	1229	129
362	1233	125
363	1235	122
364	1245	119
365	1255	116
366	1267	113
367	1273	110
368	1288	108
369	1304	105
370	1344	105
371	1390	104
372	1431	103
373	1478	102
374	1491	99
375	1499	95
376	1503	91
377	1507	87
378	1510	83
379	1513	79
380	1517	75
381	1521	71
382	1523	67
383	1527	63
384	1530	59
385	1533	55
386	1536	51
387	1539	47
388	1542	43
389	1546	39
390	1550	35
391	1553	31
392	1556	27
393	1559	23
394	1562	19
395	1565	15
396	1568	11
397	1571	7
398	1574	3
399	1580	0
